DAY,AWAY,HOME
Thursday,Buffalo Sabres,Columbus Blue Jackets
Thursday,New York Rangers,New York Islanders
Thursday,Winnipeg Jets,Dallas Stars
Thursday,Vancouver Canucks,Colorado Avalanche
Thursday,Nashville Predators,Utah Hockey Club
Thursday,Seattle Kraken,Vegas Golden Knights
Thursday,Anaheim Ducks,Los Angeles Kings
Friday,Montreal Canadiens,Ottawa Senators
Friday,Detroit Red Wings,Tampa Bay Lightning
Friday,Pittsburgh Penguins,New Jersey Devils
Friday,San Jose Sharks,Edmonton Oilers
Friday,Minnesota,Calgary Flames
Saturday,New York Islanders,Philadelphia Flyers
Saturday,New York Rangers,Carolina Hurricanes
Saturday,Colorado Avalanche,Los Angeles Kings
Saturday,Buffalo Sabres,Florida Panthers
Saturday,Montreal Canadiens,Toronto Maple Leafs
Saturday,Washington Capitals,Columbus Blue Jackets
Saturday,Winnipeg Jets,Chicago Blackhawks
Saturday,Utah Hockey Club,Dallas Stars
Saturday,Minnesota,Vancouver Canucks
Saturday,Nashville Predators,Vegas Golden Knights
Saturday,St. Louis Blues,Seattle Kraken
Sunday,Philadelphia Flyers,Ottawa Senators
Sunday,New York Islanders,New Jersey Devils
Sunday,Boston Bruins,Pittsburgh Penguins
Sunday,Toronto Maple Leafs,Carolina Hurricanes
Sunday,Buffalo Sabres,Tampa Bay Lightning
Sunday,Columbus Blue Jackets,Washington Capitals
Sunday,Edmonton Oilers,Winnipeg Jets
Sunday,San Jose Sharks,Calgary Flames
Sunday,Colorado Avalanche,Anaheim Ducks
Monday,Chicago Blackhawks,Montreal Canadiens
Monday,Dallas Stars,Detroit Red Wings
Monday,New York Rangers,Florida Panthers
Monday,Utah Hockey Club,Nashville Predators
Monday,Los Angeles Kings,Edmonton Oilers
Monday,San Jose Sharks,Vancouver Canucks
Tuesday,New Jersey Devils,Boston Bruins
Tuesday,Toronto Maple Leafs,Buffalo Sabres
Tuesday,Chicago Blackhawks,Ottawa Senators
Tuesday,Florida Panthers,Tampa Bay Lightning
Tuesday,Columbus Blue Jackets,Philadelphia Flyers
Tuesday,Washington Capitals,New York Islanders
Tuesday,Utah Hockey Club,St. Louis Blues
Tuesday,Anaheim Ducks,Minnesota
Tuesday,Vegas Golden Knights,Calgary Flames
Tuesday,Los Angeles Kings,Seattle Kraken
Wednesday,Carolina Hurricanes,Montreal Canadiens
Wednesday,Anaheim Ducks,Winnipeg Jets
Wednesday,Detroit Red Wings,New Jersey Devils
Wednesday,Dallas Stars,Nashville Predators
Wednesday,Vegas Golden Knights,Vancouver Canucks
Wednesday,Edmonton Oilers,San Jose Sharks
Thursday,Philadelphia Flyers,Buffalo Sabres
Thursday,Detroit Red Wings,Toronto Maple Leafs
Thursday,Carolina Hurricanes,Ottawa Senators
Thursday,Tampa Bay Lightning,New York Rangers
Thursday,Washington Capitals,Pittsburgh Penguins
Thursday,New York Islanders,Columbus Blue Jackets
